avpt,CCO,perFo
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.25,8,0.25
0.5,8,0.25
0.5,8,0.25
0.5,8,0.25
0.5,8,0.25
0.5,8,0.25
0.5,8,0.25
0.5,8,0.25
0.5,8,0.25
0.5,8,0.25
0.5,8,0.25
0.5,8,0.25
0.5,8,0.25
0.5,8,0.25
0.5,8,0.25
0.5,8,0.25
0.5,8,0.25
0.5,8,0.25
0.5,8,0.25
0.5,8,0.25
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
0.75,8,0.5
